"valor_txt","data_txt","codigo_txt"
"1.945,01","2025-03-08","748"
"4.389,44","05/05/2025","420"
"3.451,17","2025-06-19","947"
"4.427,32","2025-08-29","323"
"327,91","02/09/2025","551"
"8668.85","2025-04-04","835"
"R$ 8543.32","2025-08-19","951"
"554,58","07/05/2025","222"
"5.377,52","2025-07-06","513"
"1274.64","2025-07-01","966"
"193.90","25/08/2025","847"
"7313.16","2025-03-27","258"
"1.175,26","2025-08-01","452"
"6259.82","03/05/2025","487"
"5964.48","2025-04-08","293"
"3.091,03","2025-02-05","991"
"8.913,71","20/01/2025","570"
"7.236,24","2025-02-26","877"
"R$ 8046.56","2025-07-17","593"
"5.366,43","16/10/2025","364"
"1.190,04","2025-09-22","598"
"5.295,01","2025-05-21","276"
"936,05","26/08/2025","205"
"6.731,20","2025-01-18","824"
"4.181,96","2025-09-25","537"
"R$ 1498.01","08/10/2025","661"
"3.235,15","2025-02-20","858"
"4.063,04","2025-07-10","811"
"4547.55","23/07/2025","177"
"3.521,82","2025-10-19","762"
"7.924,30","2025-04-17","120"
"8693.48","01/08/2025","551"
"R$ 463.37","2025-10-20","793"
"4.172,26","2025-09-19","556"
"2.562,12","08/01/2025","404"
"8.330,94","2025-09-05","712"
"545.21","2025-01-28","185"
"R$ 5479.03","04/09/2025","765"
"R$ 6045.22","2025-04-30","382"
"6382.93","2025-09-28","109"
"","13/01/2025","117"
"852.12","2025-04-03","793"
"6.336,83","2025-02-24","203"
"7.943,39","27/02/2025","341"
"7.734,58","2025-04-12","980"
"5574.30","2025-02-22","125"
"2.281,77","06/10/2025","362"
"7.870,90","2025-10-15","814"
"5.908,70","2025-09-14","245"
"2.600,63","18/06/2025","233"
"917.99","2025-08-23","340"
"65,23","2025-03-08","568"
"7.389,09","26/01/2025","554"
"8.263,41","2025-02-07","669"
"2.848,21","2025-10-25","841"
"3.331,89","10/04/2025","451"
"4982.56","2025-08-07","919"
"1558.00","2025-09-10","621"
"2.566,04","07/05/2025","502"
"1.300,15","2025-02-08","493"
"","2025-03-26","737"
"1.545,32","06/07/2025","383"
"6.349,72","2025-04-24","830"
"1.554,28","2025-07-23","770"
"8669.86","13/10/2025","612"
"627,13","2025-01-28","899"
"7.505,27","2025-05-03","815"
"3.963,10","24/02/2025","388"
"R$ 8341.94","2025-07-17","142"
"R$ 875.43","2025-04-02","537"
"R$ 5774.97","11/04/2025","198"
"R$ 7868.53","2025-01-07","706"
"8428.90","2025-04-12","771"
"8.480,88","20/10/2025","294"
"2277.17","2025-05-08","528"
"6170.83","2025-10-22","357"
"7.631,46","24/02/2025","919"
"1.537,11","2025-02-16","769"
"279.84","2025-01-25","172"
"2.768,70","20/10/2025","276"
"6.522,58","2025-07-16","142"
"5.989,04","2025-03-16","241"
"8.484,93","07/01/2025","220"
"8.419,19","2025-07-11","421"
"R$ 8001.14","2025-01-15","212"
"33,69","14/02/2025","371"
"909.76","2025-06-28","446"
"8366.41","2025-04-11","915"
"1352.05","29/06/2025","574"
"5.455,08","2025-06-04","953"
"1.348,38","2025-03-27","445"
"2.799,78","28/07/2025","310"
"4.540,17","2025-07-08","119"
"1.396,13","2025-09-03","721"
"1.594,90","21/08/2025","992"
"1.783,70","2025-02-18","614"
"8.589,52","2025-08-05","393"
"1257.71","23/05/2025","746"
"2.265,53","2025-09-21","591"
"2.203,70","2025-02-17","833"
"404,58","13/04/2025","451"
"2.644,61","2025-06-24","707"
"R$ 4963.43","2025-05-01","585"
"8.899,35","08/10/2025","549"
"","2025-07-24","384"
"3.415,59","2025-06-12","810"
"2.485,94","24/04/2025","997"
"7.616,44","2025-10-26","765"
"1.133,57","2025-05-11","128"
"7742.60","05/02/2025","716"
"1447.65","2025-04-03","747"
"R$ 6091.10","2025-06-25","468"
"7.893,10","31/08/2025","878"
"187,89","2025-01-18","514"
"5.881,82","2025-08-09","577"
"5.870,51","29/01/2025","449"
"7358.49","2025-02-09","888"
"5.940,42","2025-04-15","687"
"6.529,86","04/07/2025","361"
"2.780,64","2025-10-04","853"
"2.040,39","2025-04-01","426"
"4.055,48","10/01/2025","337"
"8.036,19","2025-01-28","631"
"3.704,03","2025-08-07","819"
"1.699,27","26/02/2025","900"
"6.054,05","2025-10-18","482"
"1.271,57","2025-10-11","776"
"3.393,00","20/09/2025","417"
"6423.42","2025-10-03","210"
"534,91","2025-03-29","566"
"4.649,02","07/01/2025","852"
"5.418,35","2025-09-05","224"
"3.125,75","2025-07-30","729"
"291,60","01/01/2025","448"
"6.457,84","2025-03-26","336"
"R$ 1022.53","2025-03-14","419"
"8203.55","20/05/2025","526"
"5.559,08","2025-09-27","219"
"1045.28","2025-04-09","424"
"7.415,17","11/01/2025","594"
"6.938,18","2025-02-20","739"
"R$ 5795.81","2025-10-03","313"
"7148.50","01/01/2025","915"
"538,35","2025-08-08","888"
"3.891,03","2025-01-18","917"
"1.037,23","12/04/2025","535"
"7.979,72","2025-08-24","572"
"8.095,33","2025-01-16","319"
"1673.52","17/07/2025","234"
"8.032,60","2025-10-01","733"
"1.128,77","2025-03-12","765"
"985.52","16/03/2025","542"
"2.174,36","2025-06-22","770"
"6.947,77","2025-05-27","348"
"1.516,98","02/06/2025","381"
"8.750,92","2025-08-23","669"
"3.541,66","2025-09-14","744"
"1.756,83","02/08/2025","100"
"705,27","2025-02-03","609"
"8.392,29","2025-07-19","416"
"R$ 5871.40","23/09/2025","254"
"5.223,19","2025-07-29","172"
"5.973,64","2025-05-19","671"
"8426.56","15/09/2025","750"
"R$ 191.53","2025-01-17","532"
"2627.45","2025-08-13","827"
"8992.55","22/09/2025","168"
"1.274,94","2025-08-03","976"
"8.100,28","2025-04-02","748"
"6.622,58","10/01/2025","711"
"4.002,30","2025-06-24","371"
"6842.92","2025-10-23","582"
"","24/08/2025","475"
"2353.91","2025-07-03","164"
"7.932,36","2025-04-18","312"
"2490.10","07/10/2025","247"
"3544.92","2025-05-20","999"
"7896.98","2025-02-22","712"
"6258.40","31/01/2025","843"
"1.156,07","2025-01-04","478"
"5250.24","2025-10-16","635"
"4.072,44","17/03/2025","495"
"6980.60","2025-02-11","440"
"3213.94","2025-09-02","642"
"7957.63","28/03/2025","551"
"5.577,67","2025-10-10","161"
"1.893,47","2025-05-19","137"
"6.213,94","22/07/2025","670"
"1.599,50","2025-02-03","425"
"556,48","2025-06-30","377"
"3.225,70","23/05/2025","900"
"8.450,89","2025-10-06","301"
"8.951,18","2025-07-28","728"
"2.875,60","24/04/2025","393"
"8384.47","2025-01-14","958"
"7246.30","2025-03-23","179"
"5.169,77","16/06/2025","720"
"5.249,94","2025-03-15","124"
